245 Frederick 0.454 5.7 5.426 9.44 6.4 5.7
683 Susan	 5.18 1.878 5.11 2.195 8.6 8.1
717 Jane 8.076 1.47 1.8 3.531 2.55 3.58
34  William 0.9 5.701 0.27 9.6 7.083 0.388
471 Mary 1.86 4.545 2.8 8.446 9.57 9.19
491 Peter 3.6 5.049 8.786 3.813 9.865 2.089
824 John 1.996 2.693 0.3 4.833 5.806 1.373
97  Richard 8.8 3.619 2.86 6.12 1.280 0.085
371 Bertram 0.116 4.0 8.3 4.8 5.925 1.5
315 Rose 2.209 1.96 1.992 2.96 6.429 1.74
185 Alfred	 8.37 3.978 5.4 3.59 4.8 5.6
779 Eva	 1.36 8.64 7.43 1.636 6.52 5.24
178 Nicholas 7.93 8.9 2.181 7.2 7.405 9.369
991 Joseph	 7.55 1.280 3.313 6.63 1.023 1.657
963 Lucy 7.82 4.256 6.04 6.354 1.773 0.655
